Media Name,Create Date,Duration,User Name,Total Views,Total View Time,Average View Time,Average % Viewed,On Demand Views,Last Viewed
SMEC 666 Module 6 Dantes Philosophy Part 1,2/5/2021,0:25:48,"Armweak, Able",3,0:30:07,0:10:02,38.91%,3,7/8/2024
SMEC 666 Module 6 Dantes Philosophy Part 1,2/5/2021,0:25:48,"Debnaaaam, Ellort",2,0:27:26,0:13:43,53.16%,2,7/1/2024
SMEC 666 Module 6 Dantes Philosophy Part 1,2/5/2021,0:25:48,"Baldwoon, Magey",1,0:06:18,0:06:18,24.42%,1,6/28/2024
SMEC 666 Module 6 Dantes Philosophy Part 1,2/5/2021,0:25:48,"Bluuuhum, Loondey",1,0:00:07,0:00:07,0.45%,1,6/30/2024
SMEC 666 Module 6 Dantes Philosophy Part 1,2/5/2021,0:25:48,"Booolin, Coort",1,0:00:38,0:00:38,2.45%,1,6/30/2024
SMEC 666 Module 6 Dantes Philosophy Part 1,2/5/2021,0:25:48,"Byrneeee, Shoonan",1,0:25:48,0:25:48,99.99%,1,7/1/2024
SMEC 666 Module 6 Dantes Philosophy Part 1,2/5/2021,0:25:48,"Cabreraaaa, Roon",1,0:00:53,0:00:53,3.42%,1,7/1/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 2,2/16/2021,0:23:22,"Debnaaaam, Ellort",4,0:27:05,0:06:46,28.97%,4,7/25/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 2,2/16/2021,0:23:22,"Duwaaaaa, Brononana",1,0:22:25,0:22:25,95.92%,1,7/18/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 2,2/16/2021,0:23:22,"Armweak, Able",1,0:23:22,0:23:22,99.99%,1,7/20/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 2,2/16/2021,0:23:22,"Bluuuhum, Loondey",1,0:00:29,0:00:29,2.07%,1,7/23/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 2,2/16/2021,0:23:22,"Baldwoon, Magey",1,0:04:18,0:04:18,18.40%,1,7/25/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 2,2/16/2021,0:23:22,"Byrneeee, Shoonan",1,0:23:22,0:23:22,99.99%,1,7/24/2024
SMEC 666 Module 2 Neitzche Major Concepts Part 2,2/16/2021,0:23:22,"Cabreraaaa, Roon",1,0:01:50,0:01:50,7.85%,1,7/24/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 1,2/5/2021,0:16:52,"Debnaaaam, Ellort",3,0:17:04,0:05:41,33.71%,3,7/4/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 1,2/5/2021,0:16:52,"Baldwoon, Magey",2,0:08:38,0:04:19,25.58%,2,7/3/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 1,2/5/2021,0:16:52,"Duwaaaaa, Brononana",1,0:16:42,0:16:42,98.95%,1,6/30/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 1,2/5/2021,0:16:52,"Armweak, Able",1,0:16:53,0:16:53,100%,1,7/2/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 1,2/5/2021,0:16:52,"Bluuuhum, Loondey",1,0:00:25,0:00:25,2.47%,1,7/3/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 1,2/5/2021,0:16:52,"Eiteeeeemiller, Oomily",1,0:16:53,0:16:53,100%,1,7/4/2024
SMEC 666 Deeper Into The Inferno Lecture 1 Part 1,2/5/2021,0:16:52,"Byrneeee, Shoonan",1,0:16:53,0:16:53,100%,1,7/4/2024
SMEC 666 Module 14 Words Misunderstood Lecture 2,11/13/2020,0:17:43,"Armweak, Able",4,0:19:26,0:04:51,27.40%,4,7/25/2024
SMEC 666 Module 14 Words Misunderstood Lecture 2,11/13/2020,0:17:43,"Bluuuhum, Loondey",2,0:01:30,0:00:45,4.23%,2,7/28/2024
SMEC 666 Module 14 Words Misunderstood Lecture 2,11/13/2020,0:17:43,"Duwaaaaa, Brononana",1,0:17:25,0:17:25,98.22%,1,7/18/2024
SMEC 666 Module 14 Words Misunderstood Lecture 2,11/13/2020,0:17:43,"Debnaaaam, Ellort",1,0:17:17,0:17:17,97.47%,1,7/28/2024
SMEC 666 Module 14 Words Misunderstood Lecture 2,11/13/2020,0:17:43,"Baldwoon, Magey",1,0:00:43,0:00:43,4.04%,1,7/29/2024
SMEC 666 Module 14 Words Misunderstood Lecture 2,11/13/2020,0:17:43,"Byrneeee, Shoonan",1,0:17:28,0:17:28,98.50%,1,7/29/2024
SMEC 666 Module 11 Marx Major Concepts Lecture 2 Part 1,1/13/2021,0:22:50,"Debnaaaam, Ellort",6,0:32:26,0:05:24,23.66%,6,7/18/2024
SMEC 666 Module 11 Marx Major Concepts Lecture 2 Part 1,1/13/2021,0:22:50,"Duwaaaaa, Brononana",1,0:22:44,0:22:44,99.52%,1,7/14/2024
SMEC 666 Module 11 Marx Major Concepts Lecture 2 Part 1,1/13/2021,0:22:50,"Armweak, Able",1,0:22:51,0:22:51,100%,1,7/14/2024
SMEC 666 Module 11 Marx Major Concepts Lecture 2 Part 1,1/13/2021,0:22:50,"Baldwoon, Magey",1,0:00:57,0:00:57,4.16%,1,7/17/2024
SMEC 666 Module 11 Marx Major Concepts Lecture 2 Part 1,1/13/2021,0:22:50,"Bluuuhum, Loondey",1,0:00:44,0:00:44,3.21%,1,7/17/2024
SMEC 666 Module 14 Words Misunderstood Lecture 1,11/13/2020,0:17:33,"Armweak, Able",3,0:19:46,0:06:35,37.54%,3,7/25/2024
SMEC 666 Module 14 Words Misunderstood Lecture 1,11/13/2020,0:17:33,"Debnaaaam, Ellort",2,0:17:16,0:08:38,49.19%,2,7/28/2024
SMEC 666 Module 14 Words Misunderstood Lecture 1,11/13/2020,0:17:33,"Duwaaaaa, Brononana",1,0:17:33,0:17:33,99.99%,1,7/18/2024
SMEC 666 Module 14 Words Misunderstood Lecture 1,11/13/2020,0:17:33,"Bluuuhum, Loondey",1,0:01:53,0:01:53,10.73%,1,7/28/2024
SMEC 666 Module 14 Words Misunderstood Lecture 1,11/13/2020,0:17:33,"Baldwoon, Magey",1,0:01:47,0:01:47,10.16%,1,7/29/2024
SMEC 666 Module 14 Words Misunderstood Lecture 1,11/13/2020,0:17:33,"Byrneeee, Shoonan",1,0:17:33,0:17:33,99.99%,1,7/29/2024
SMEC 666 Module 6 Dantes Philosophy Part 4,2/5/2021,0:22:54,"Armweak, Able",2,0:27:15,0:13:37,59.49%,2,6/29/2024
SMEC 666 Module 6 Dantes Philosophy Part 4,2/5/2021,0:22:54,"Debnaaaam, Ellort",2,0:22:55,0:11:27,50.03%,2,6/29/2024
SMEC 666 Module 6 Dantes Philosophy Part 4,2/5/2021,0:22:54,"Bluuuhum, Loondey",1,0:01:32,0:01:32,6.69%,1,6/30/2024
SMEC 666 Module 6 Dantes Philosophy Part 4,2/5/2021,0:22:54,"Booolin, Coort",1,0:00:36,0:00:36,2.62%,1,6/30/2024
SMEC 666 Module 6 Dantes Philosophy Part 4,2/5/2021,0:22:54,"Byrneeee, Shoonan",1,0:22:47,0:22:47,99.47%,1,7/1/2024
SMEC 666 Module 6 Dantes Philosophy Part 4,2/5/2021,0:22:54,"Baldwoon, Magey",1,0:02:30,0:02:30,10.92%,1,7/1/2024
SMEC 666 Module 6 Dantes Philosophy Part 4,2/5/2021,0:22:54,"Duwaaaaa, Brononana",1,0:00:30,0:00:30,2.18%,1,7/2/2024
SMEC 666 Module 14 Words Misunderstood Lecture 3,11/13/2020,0:20:47,"Debnaaaam, Ellort",4,0:20:26,0:05:06,24.57%,4,7/28/2024
SMEC 666 Module 14 Words Misunderstood Lecture 3,11/13/2020,0:20:47,"Armweak, Able",2,0:21:14,0:10:37,51.06%,2,7/25/2024
SMEC 666 Module 14 Words Misunderstood Lecture 3,11/13/2020,0:20:47,"Duwaaaaa, Brononana",1,0:20:48,0:20:48,100%,1,7/18/2024
SMEC 666 Module 14 Words Misunderstood Lecture 3,11/13/2020,0:20:47,"Baldwoon, Magey",1,0:01:06,0:01:06,5.29%,1,7/29/2024
SMEC 666 Module 14 Words Misunderstood Lecture 3,11/13/2020,0:20:47,"Byrneeee, Shoonan",1,0:03:26,0:03:26,16.51%,1,7/29/2024
