Student,ID,SIS User ID,SIS Login ID,Section,Group Assignment 1 (1214547),Group Assignment 2 (1514789),Group Assignment 3 (1658741),Group Assignment 4 (1952467),Group Assignment 5 (1974852),Group Assignment 6 (1956421),Presentation 1 (3698521),Presentation 2 (1945714),Module 7 Extra Credit Assignment (20 points) (6954871),Module 8: NPV Extra Credit Assignment (5 points) (1945444),Module 10 - SWOT and Growth (1965656),Capstone Project Quiz  (3698521),Individual Assignment 1 - IA1 (1661452),IA2 (1994578),Martinez Farm - Case Study IA2  (1945632),IA3 (1947852),IA4 (1936456),IA5 (1965874),IA6 (1936232),IA7 (1635241),IA8 (1978456),IA9 (1933345),IA10 (1936642),Respondus Trial Assignment (1994571),Respondus Trial Assignment Copy (1635263),Exam 1 - Requires Respondus LockDown Browser + Webcam (1936555),Exam 2 - Requires Respondus LockDown Browser + Webcam (1933333),Peer Evaluations - Round 1 (1988888),Peer Evaluations - Round 2 (1999999),Peer Evaluations - Round 3 (1995858),Business Prospectus (1925825),Feasibility Analysis  (1936936),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Group Assignments Current Points,Group Assignments Final Points,Group Assignments Current Score,Group Assignments Unposted Current Score,Group Assignments Final Score,Group Assignments Unposted Final Score,Presentations Current Points,Presentations Final Points,Presentations Current Score,Presentations Unposted Current Score,Presentations Final Score,Presentations Unposted Final Score,Peer Evaluations Current Points,Peer Evaluations Final Points,Peer Evaluations Current Score,Peer Evaluations Unposted Current Score,Peer Evaluations Final Score,Peer Evaluations Unposted Final Score,Extra Credit Current Points,Extra Credit Final Points,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Individual Assignments Current Points,Individual Assignments Final Points,Individual Assignments Current Score,Individual Assignments Unposted Current Score,Individual Assignments Final Score,Individual Assignments Unposted Final Score,Exams Current Points,Exams Final Points,Exams Current Score,Exams Unposted Current Score,Exams Final Score,Exams Unposted Final Score,Make up Exam Current Points,Make up Exam Final Points,Make up Exam Current Score,Make up Exam Unposted Current Score,Make up Exam Final Score,Make up Exam Unposted Final Score,Peer Evaluations Current Points,Peer Evaluations Final Points,Peer Evaluations Current Score,Peer Evaluations Unposted Current Score,Peer Evaluations Final Score,Peer Evaluations Unposted Final Score,Imported Assignments Current Points,Imported Assignments Final Points,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Capstone Project Document Submission Current Points,Capstone Project Document Submission Final Points,Capstone Project Document Submission Current Score,Capstone Project Document Submission Unposted Current Score,Capstone Project Document Submission Final Score,Capstone Project Document Submission Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
    Points Possible,,,,,40,40,40,40,40,40,50,50,0,0,0,0,10,10,0,10,11,10,10,12,10,10,10,0,0,150,150,50,50,50,100,100,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
"Armweak, Able",199945,123456789,abbadabba,2022FA-SMEC-666-801,25,33,34,27.5,31.5,37.5,50,50,,4,,,8.5,9.5,,10,11,9.75,9.75,11.71,7.37,7.5,8.25,,,128.36,147,44.8,44,48.5,96.5,95,0,0,,,,,163.5,163.5,81.75,81.75,81.75,81.75,100,100,100,100,100,100,0,0,,,,,4,4,,,,,93.33,93.33,90.61,90.61,90.61,90.61,275.36,275.36,91.79,91.79,91.79,91.79,0,0,,,,,93.3,93.3,93.3,93.3,93.3,93.3,0,0,,,,,191.5,191.5,95.75,95.75,95.75,95.75,920.99,920.99,91.82,91.82,91.82,91.82,A-,A-,A-,A-
"Baeley, Eoomo",264585,123456789,abbadabba,2022FA-SMEC-666-802,36,37,34,25,27,36.25,36.5,35.5,,2,,,5,7,,9.5,9.35,6.5,4.5,10.54,6.84,4.25,4,,,94.43,31.5,50,48.7,50,86.65,72.5,0,0,,,,,170.25,170.25,85.13,85.13,85.13,85.13,72,72,72,72,72,72,0,0,,,,,2,2,,,,,67.48,67.48,65.51,65.51,65.51,65.51,125.93,125.93,41.98,41.98,41.98,41.98,0,0,,,,,100,100,100,100,100,100,0,0,,,,,159.15,159.15,79.58,79.58,79.58,79.58,696.8,696.8,69.47,69.47,69.47,69.47,D,D,D,D
"Baldwoon, Magey",198745,123456789,abbadabba,2022FA-SMEC-666-803,36,37,34,25,27,36.25,36.5,35.5,,,10,,9.44,8,,9.55,10.45,6.75,9.75,10.24,6.84,9.25,6.5,,,135.25,84.5,49.4,48.6,50,86.65,72.5,0,0,,,,,170.25,170.25,85.13,85.13,85.13,85.13,72,72,72,72,72,72,0,0,,,,,10,10,,,,,86.78,86.78,84.25,84.25,84.25,84.25,219.75,219.75,73.25,73.25,73.25,73.25,0,0,,,,,99.4,99.4,99.4,99.4,99.4,99.4,0,0,,,,,159.15,159.15,79.58,79.58,79.58,79.58,817.32,817.32,81.49,81.49,81.49,81.49,B-,B-,B-,B-
"Bluuuhum, Loondey",364785,123456789,abbadabba,2022FA-SMEC-666-804,34,34,32.5,32.5,29.5,40,45.75,42.5,,,,,9.44,8,,10,9.9,8,7.75,11.71,7.89,6.5,7,,,112.62,115.5,49,48.4,49,83.65,72.5,0,0,,,,,173,173,86.5,86.5,86.5,86.5,88.25,88.25,88.25,88.25,88.25,88.25,0,0,,,,,0,0,,,,,86.2,86.2,83.69,83.69,83.69,83.69,228.12,228.12,76.04,76.04,76.04,76.04,0,0,,,,,98,98,98,98,98,98,0,0,,,,,156.15,156.15,78.08,78.08,78.08,78.08,829.72,829.72,82.72,82.72,82.72,82.72,B-,B-,B-,B-
"Booolin, Coort",378451,123456789,abbadabba,2022FA-SMEC-666-805,40,40,40,40,40,40,49,47.5,20,5,18,,7.5,9.5,,10,10.45,10,10,12,10,10,8.5,,,137.7,153,50,50,50,108.4,100,0,0,,,,,200,200,100,100,100,100,96.5,96.5,96.5,96.5,96.5,96.5,0,0,,,,,43,43,,,,,97.95,97.95,95.1,95.1,95.1,95.1,290.7,290.7,96.9,96.9,96.9,96.9,0,0,,,,,100,100,100,100,100,100,0,0,,,,,208.4,208.4,104.2,104.2,104.2,104.2,1036.55,1036.55,103.35,103.35,103.35,103.35,A+,A+,A+,A+
"Byrneeee, Shoonan",366665,123456789,abbadabba,2022FA-SMEC-666-806,25,33,34,27.5,31.5,37.5,50,50,,,,,7,7,,9.09,6.6,3.25,8,11.71,7.89,7,10,,,128.85,133,46.4,45.75,48.88,96.5,95,0,0,,,,,163.5,163.5,81.75,81.75,81.75,81.75,100,100,100,100,100,100,0,0,,,,,0,0,,,,,77.54,77.54,75.28,75.28,75.28,75.28,261.85,261.85,87.28,87.28,87.28,87.28,0,0,,,,,95.28,95.28,95.28,95.28,95.28,95.28,0,0,,,,,191.5,191.5,95.75,95.75,95.75,95.75,889.67,889.67,88.7,88.7,88.7,88.7,B+,B+,B+,B+
"Cabreraaaa, Roon",478451,123456789,abbadabba,2022FA-SMEC-666-807,36,37,34,25,27,36.25,36.5,35.5,,3,10,0,0,7,,9.55,10.45,8.5,9.75,11.12,7.89,8.5,8.5,,,97.87,97,49.8,45.5,0,86.65,130,0,0,,,,,170.25,170.25,85.13,85.13,85.13,85.13,72,72,72,72,72,72,0,0,,,,,13,13,,,,,81.26,81.26,78.89,78.89,78.89,78.89,194.87,194.87,64.96,64.96,64.96,64.96,0,0,,,,,95.3,95.3,95.3,95.3,95.3,95.3,0,0,,,,,216.65,216.65,108.33,108.33,108.33,108.33,843.33,843.33,84.08,84.08,84.08,84.08,B,B,B,B
"Debnaaaam, Ellort",134679,123456789,abbadabba,2022FA-SMEC-666-808,40,40,40,40,40,40,49,47.5,,,,,6.5,9,,9.09,11,4,7.75,11.12,6.32,4.75,7.75,,,112.62,114,49,50,50,108.4,100,0,0,,,,,200,200,100,100,100,100,96.5,96.5,96.5,96.5,96.5,96.5,0,0,,,,,0,0,,,,,77.28,77.28,75.03,75.03,75.03,75.03,226.62,226.62,75.54,75.54,75.54,75.54,0,0,,,,,100,100,100,100,100,100,0,0,,,,,208.4,208.4,104.2,104.2,104.2,104.2,908.8,908.8,90.61,90.61,90.61,90.61,A-,A-,A-,A-
"Duwaaaaa, Brononana",753951,123456789,abbadabba,2022FA-SMEC-666-809,32,32,26.5,40,36,36.25,44,47.5,15,5,15,,3.5,5.5,,6.82,6.05,5,4,10.83,5.79,6,8.75,,,67.87,100,38.4,48.5,48.8,96.95,90,0,0,,,,,176.25,176.25,88.13,88.13,88.13,88.13,91.5,91.5,91.5,91.5,91.5,91.5,0,0,,,,,35,35,,,,,62.24,62.24,60.42,60.42,60.42,60.42,167.87,167.87,55.96,55.96,55.96,55.96,0,0,,,,,97.3,97.3,97.3,97.3,97.3,97.3,0,0,,,,,186.95,186.95,93.48,93.48,93.48,93.48,817.11,817.11,81.47,81.47,81.47,81.47,B-,B-,B-,B-
